uniprot_kb,symbol,synonyms,full_name
B4DGM8,Q86TL0,ATG4D,APG4-D|APG4D|AUTL4,autophagy related 4D cysteine peptidase
Q5EBK1,Q8C9S8,Atg4a,AI627006|AV169859|Apg4a|Atg4al|Autl2,autophagy related 4A, cysteine peptidase
A0A0R4J065,Q8BGE6,Atg4b,2510009N07Rik|AW048066|Apg4b|Atg4bl|Autl1,autophagy related 4B, cysteine peptidase
Q3UYA5,Q811C2,Atg4c,Apg4-C|Apg4c|Atg4cl|Autl1,autophagy related 4C, cysteine peptidase
Q8BGV9,Atg4d,9830134P12Rik|APG4-D|Apg4d|Atg4dl|Autl4,autophagy related 4D, cysteine peptidase
P53867,ATG4,APG4|AUT2,
D8TP78,apg4,,
Q3V5I7,Q3V5I8,W6RR39,atg-5,,
A9UGY9,Q7Z3H3,Q9H1Y0,ATG5,APG5|APG5-LIKE|APG5L|ASP|hAPG5,autophagy related 5
Q99J83,Atg5,2010107M05Rik|3110067M24Rik|AW319544|Apg5l|Atg5l|C88337|Paddy,autophagy related 5
Q12380,ATG5,APG5,
A0A024R1X5,B4DQ36,E7EV84,Q14457,W0FFG4,BECN1,ATG6|VPS30|beclin1,beclin 1
O88597,Becn1,4921513J16Rik|5430417M23Rik|Atg6,beclin 1, autophagy related
P87117,atg6,SPAC3A12.01c,
D8U0G1,apg6,,
B3KQM6,O95352,ATG7,APG7-LIKE|APG7L|GSA7,autophagy related 7
A0A0A0MQN4,Q3TM87,Q9D906,Atg7,1810013K23Rik|Agp7|Apg7l|Atg7l|Gm21553,autophagy related 7
P38862,ATG7,APG11|APG7|CVT2,
D8TZ27,apg7,,
D8U058,apg8,,
O95166,Q6IAW1,GABARAP,ATG8A|GABARAP-a|MM46,GABA type A receptor-associated protein
A0A024RAP5,Q9H0R8,GABARAPL1,APG8-LIKE|APG8L|ATG8|ATG8B|ATG8L|GEC1,GABA type A receptor associated protein like 1
P60520,GABARAPL2,ATG8|ATG8C|GATE-16|GATE16|GEF-2|GEF2,GABA type A receptor associated protein like 2
Q9H492,MAP1LC3A,ATG8E|LC3|LC3A|MAP1ALC3|MAP1BLC3,microtubule associated protein 1 light chain 3 alpha
Q658J6,Q9GZQ8,MAP1LC3B,ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a,microtubule associated protein 1 light chain 3 beta
Q9BXW4,MAP1LC3C,ATG8J|LC3C,microtubule associated protein 1 light chain 3 gamma
Q9DCD6,Gabarap,,gamma-aminobutyric acid receptor associated protein
Q8R3R8,Gabarapl1,3110025G09Rik|9130422N19Rik|AI196471|Apg8l|Atg8l|GECI|MNCb-0091,gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1
P60521,Gabarapl2,0610012F20Rik|2900019O08Rik|AI173605|GATE-16|Gef2,gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2
P38182,ATG8,APG8|AUT7|CVT5,
A0A024R438,Q7Z3C6,ATG9A,APG9L1|MGD3208|mATG9,autophagy related 9A
Q674R7,ATG9B,APG9L2|NOS3AS|SONE,autophagy related 9B
Q3ZAQ4,Q68FE2,Atg9a,AU019532|Apg9l1|Atg9|Atg9l1,autophagy related 9A
Q6EBV9,Atg9b,Apg912|Apg9l2|Apgdc2|Gm574|Nos3as|eONE|sONE,autophagy related 9B
Q12142,ATG9,APG9|AUT9|CVT6|CVT7,
D8U1U5,VOLCADRAFT_93324,,
Q9H0Y0,ATG10,APG10|APG10L|pp12616,autophagy related 10
A0A0R4J029,Q8R1P4,Atg10,5330424L23Rik|5430428K15Rik|AI852123|APG10|Agp10|Apg10l|Apg10p|Atg10l,autophagy related 10
Q07879,ATG10,APG10,
Q12527,ATG11,CVT3|CVT9,
O94817,ATG12,APG12|APG12L|FBR93|HAPG12,autophagy related 12
Q9CQY1,Atg12,4931423H11Rik|A330058M13Rik|Apg12l|Atg12l,autophagy related 12
P38316,ATG12,APG12,
P34379,atg-13,,
Q94533,S6k,10539|7-10|7084|CG10539|DS6K|DmelCG10539|Dp70S6k|Dp70[s6k]|Dp70s6k|Pk64F|Pk?6|S6K|S6K1|S6k|S6K|dS6K|dS6k|dp70[S6k]|dp70s6k|dps6k|ds6k|fs(3)07084|l(3)07084|p-S6K|p70 S6K|p70/S6K|p70S6K|p70[S6 kinase]|p,Ribosomal protein S6 kinase
B0LPE5,B3KVH4,P31749,AKT1,AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA,AKT serine/threonine kinase 1
Q96MB7,HARBI1,C11orf77,harbinger transposase derived 1
P23443,RPS6KB1,PS6K|S6K|S6K-beta-1|S6K1|STK14A|p70 S6KA|p70(S6K)-alpha|p70-S6K|p70-alpha,ribosomal protein S6 kinase B1
Q8BR93,Harbi1,D230010M03Rik,harbinger transposase derived 1
Q06628,ATG13,APG13,
D8U794,VOLCADRAFT_95367,,
Q9VAP6,Atg14,CG11877|DmelCG11877,Autophagy-related 14
Q6ZNE5,ATG14,ATG14L|BARKOR|KIAA0831,autophagy related 14
Q8CDJ3,Atg14,4832427M01|Atg14L|D14Ertd114e|D14Ertd436e,autophagy related 14
P38270,ATG14,APG14|CVT12,
D8U2P5,VOLCADRAFT_105732,,
D8TR41,VOLCADRAFT_89218,,
P25641,ATG15,AUT5|CVT17,
D8UMM1,VOLCADRAFT_101426,,
D8TYF1,VOLCADRAFT_105099,,
D8TH09,VOLCADRAFT_44867,,
Q19124,atg-16.1,,
Q09406,atg-16.2,,
A0A024R494,A0A024R4B6,E7EVC7,Q17RG0,Q53SV2,Q676U5,ATG16L1,APG16L|ATG16A|ATG16L|IBD10|WDR30,autophagy related 16 like 1
Q8NAA4,Q9H7Q5,ATG16L2,ATG16B|WDR80,autophagy related 16 like 2
G9M4M6,Q3TDQ5,Q8C0J2,Atg16l1,1500009K01Rik|Apg16l|Atg16l|WDR30,autophagy related 16-like 1 (S. cerevisiae)
G9M4M8,Q6KAU8,Atg16l2,2410118P20Rik,autophagy related 16-like 2 (S. cerevisiae)
Q03818,ATG16,APG15|APG16|CVT11|SAP18,
O94620,spf38,cwf17,
D8TP71,VOLCADRAFT_116733,,
Q06410,ATG17,APG17,
H2KYN5,O16466,atg-18,,
B4DX63,G5EA37,Q5MNZ9,WIPI1,ATG18|ATG18A|WIPI49,WD repeat domain, phosphoinositide interacting 1
A0A024R823,Q9Y4P8,WIPI2,ATG18B|Atg21|CGI-50|WIPI-2,WD repeat domain, phosphoinositide interacting 2
Q8R3E3,Wipi1,4930533H01Rik|AW411817|D11Ertd498e,WD repeat domain, phosphoinositide interacting 1
Q80W47,Wipi2,1110018O08Rik|2510001I10Rik,WD repeat domain, phosphoinositide interacting 2
P43601,ATG18,AUT10|CVT18|NMR1|SVP1,
Q9P6N1,mug179,atg18b,
Q9P3W2,SPAC458.06,,
D8TLT4,VOLCADRAFT_103431,,
D8UAY9,VOLCADRAFT_42684,,
D8U7H0,VOLCADRAFT_95446,,
P35193,ATG19,CVT19,
Q07528,ATG20,CVT20|SNX42,
D8UIV1,VOLCADRAFT_69645,,
D8UB11,VOLCADRAFT_96778,,
B4DX63,G5EA37,Q5MNZ9,WIPI1,ATG18|ATG18A|WIPI49,WD repeat domain, phosphoinositide interacting 1
A0A024R823,Q9Y4P8,WIPI2,ATG18B|Atg21|CGI-50|WIPI-2,WD repeat domain, phosphoinositide interacting 2
Q8R3E3,Wipi1,4930533H01Rik|AW411817|D11Ertd498e,WD repeat domain, phosphoinositide interacting 1
Q80W47,Wipi2,1110018O08Rik|2510001I10Rik,WD repeat domain, phosphoinositide interacting 2
Q02887,ATG21,HSV1|MAI1,
P25568,ATG22,AUT4,
Q06671,ATG23,CVT23,
P47057,SNX4,ATG24|CVT13,
Q06321,ATG26,UGT51,
D8TWH3,VOLCADRAFT_104846,,
D8UD22,VOLCADRAFT_107296,,
P46989,ATG27,ETF1,
Q12092,ATG29,,
Q12421,ATG31,CIS1,
P40458,ATG32,ECM37,
P42345,MTOR,FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS,mechanistic target of rapamycin
Q9JLN9,Mtor,2610315D21Rik|AI327068|FRAP|FRAP2|Frap1|RAFT1|RAPT1|flat,mechanistic target of rapamycin (serine/threonine kinase)
P35169,TOR1,DRR1,
P32600,TOR2,DRR2,
P22543,VPS34,END12|PEP15|STT8|VPL7|VPS7|VPT29,
D8U5M8,VOLCADRAFT_40672,,
P28482,Q1HBJ4,Q499G7,MAPK1,ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK,mitogen-activated protein kinase 1
L7RXH5,P27361,Q9BWJ1,MAPK3,ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK,mitogen-activated protein kinase 3
Q13131,PRKAA1,AMPK|AMPKa1,protein kinase AMP-activated catalytic subunit alpha 1
P54646,PRKAA2,AMPK|AMPK2|AMPKa2|PRKAA,protein kinase AMP-activated catalytic subunit alpha 2
P22219,VPS15,GRD8|VAC4|VPL19|VPS40|VPT15,
D8TZ15,VOLCADRAFT_120976,,
D8TN22,VOLCADRAFT_88093,,
Q9P2Y5,UVRAG,DHTX|VPS38|p63,UV radiation resistance associated
Q8K245,Uvrag,9530039D02Rik|AI648770|BB124205|Uvrag1|Uvragl,UV radiation resistance associated gene
A0A087WW40,Q9Y371,SH3GLB1,Bif-1|CGI-61|PPP1R70|dJ612B15.2,SH3 domain containing GRB2 like endophilin B1
Q9JK48,Sh3glb1,AA409932|AI314629|AU015566|Bif-1|mKIAA0491,SH3-domain GRB2-like B1 (endophilin)
A0A024R0B7,Q6UX65,DRAM2,CORD21|PRO180|TMEM77|WWFQ154,DNA damage regulated autophagy modulator 2
A0A075B6T1,Q9C0C7,AMBRA1,DCAF3|WDR94,autophagy and beclin 1 regulator 1
A2AH22,Ambra1,2310079H06Rik|A130023A14|AA474864|AV021921|D030051N19Rik|mKIAA1736,autophagy/beclin 1 regulator 1
Q8TDY2,RB1CC1,ATG17|CC1|FIP200|PPP1R131,RB1 inducible coiled-coil 1
Q9ESK9,Rb1cc1,2900055E04Rik|5930404L04Rik|Cc1|FIP200|LaXp180,RB1-inducible coiled-coil 1
A0A024R128,Q9BSB4,ATG101,C12orf44,autophagy related 101
Q9HBF4,ZFYVE1,DFCP1|PPP1R172|SR3|TAFF1|ZNFN2A1,zinc finger FYVE-type containing 1
Q810J8,Zfyve1,DFCP1|G630053K23|TAFF1|ZNFN2A1|mKIAA1589,zinc finger, FYVE domain containing 1
A0A024R2B3,A0A024R2C4,P10415,BCL2,Bcl-2|PPP1R50,B-cell CLL/lymphoma 2
A0A0S2Z3C5,Q07817,Q5TE63,BCL2L1,BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52,BCL2 like 1
P10417,Q6NTH7,Q8BQK4,Bcl2,AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik,B cell leukemia/lymphoma 2
Q9HD26,GOPC,CAL|FIG|GOPC1|PIST|dJ94G16.2,golgi-associated PDZ and coiled-coil motif containing
Q8BH60,Gopc,2210402P09Rik|AI844555|CAL|FIG|GOPC1|PIST,golgi associated PDZ and coiled-coil motif containing
A0A024R2K1,P20339,RAB5A,RAB5,RAB5A, member RAS oncogene family
A0A0A0MS70,A0A0A0MSI9,A0A0A0MST0,Q99836,MYD88,MYD88D,myeloid differentiation primary response 88
Q8N4U6,Q92622,RUBCN,KIAA0226|RUBICON|SCAR15,RUN and cysteine rich domain containing beclin 1 interacting protein
Q13501,SQSTM1,A170|FTDALS3|OSIL|PDB3|ZIP3|p60|p62|p62B,sequestosome 1
A0A024R1V3,B7Z5R6,Q14596,NBR1,1A1-3B|IAI3B|M17S2|MIG19,neighbor of BRCA1 gene 1
Q96GC9,VMP1,EPG3|TANGO5|TMEM49,vacuole membrane protein 1
Q8IXH6,TP53INP2,C20orf110|DOR|PINH|dJ1181N3.1,tumor protein p53 inducible nuclear protein 2
Q12983,Q6NVY4,BNIP3,NIP3,BCL2/adenovirus E1B 19kDa interacting protein 3
P39968,VAC8,YEB3,
P12688,YPK1,SLI2,
Q06485,ATG33,,
Q12292,ATG34,,
P14904,APE1,API|LAP4|YSC1,
P32381,ARP2,ACT2,
P47117,ARP3,ACT4,
G5EC37,sepa-1,,
O95661,DIRAS3,ARHI|NOEY2,DIRAS family GTPase 3
A0A090N900,Q15382,RHEB,RHEB2,Ras homolog enriched in brain
Q32NF0,Q86WV8,Q92574,X5D9D2,TSC1,LAM|TSC,tuberous sclerosis 1
B3KWH7,H3BMQ0,P49815,Q5HYF7,X5D2U8,X5D7Q2,TSC2,LAM|PPP1R160|TSC4,tuberous sclerosis 2
A0A0U1RR63,F6KD01,P60484,PTEN,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1,phosphatase and tensin homolog
A0A0S2Z4D1,Q15831,STK11,LKB1|PJS|hLKB1,serine/threonine kinase 11
Q9Y6P5,SESN1,PA26|SEST1,sestrin 1
P58004,SESN2,HI95|SES2|SEST2,sestrin 2
A0A024R8E2,P00519,Q59FK4,ABL1,ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl,ABL proto-oncogene 1, non-receptor tyrosine kinase
P11274,BCR,ALL|BCR1|CML|D22S11|D22S662|PHL,breakpoint cluster region
P42574,CASP3,CPP32|CPP32B|SCA-1,caspase 3
D6RBW1,P06730,Q32Q75,X5D7E3,EIF4E,AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E,eukaryotic translation initiation factor 4E
A0A0K3ARE8,A0A0K3ARZ1,A0A0K3AUA1,A0A0K3AUY1,A0A0K3AXA0,Q968Y9,daf-2,,
P00533,EGFR,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,epidermal growth factor receptor
Q9W437,raptor,4320|CG4320|DmelCG4320|Raptor|dRap|dRaptor|raptor/CG4320,
Q9VHJ4,RagA-B,CG11968|DmelCG11968|Gtr1|Rag|RagA|dRagA|dRagB,Ras-related GTP binding A/B ortholog (H. sapiens)
Q7K519,RagC-D,CG8707|DmelCG8707|Gtr2|RagC|dRagC,Ras-related GTP binding C/D ortholog (H. sapiens)
O76742,Rab7,AAF56218|CG5915|DRAB7|DRab7|Dm Rab7|DmRab7|DmelCG5915|Drab7|O76742|RAB7|Rab-7|Rab-r7|dRab7|drab7|rab7,
A0A0S2Z4L5,B4E0X2,L7RRS6,P04049,RAF1,CMD1NN|CRAF|NS5|Raf-1|c-Raf,Raf-1 proto-oncogene, serine/threonine kinase
A4QPA9,B4DFY5,Q02750,MAP2K1,CFC3|MAPKK1|MEK1|MKK1|PRKMK1,mitogen-activated protein kinase kinase 1
B3KS97,P36507,MAP2K2,CFC4|MAPKK2|MEK2|MKK2|PRKMK2,mitogen-activated protein kinase kinase 2
B4DP94,P49795,RGS19,GAIP|RGSGAIP,regulator of G-protein signaling 19
P41374,X2JFR6,eIF-2alpha,CG9946|DmelCG9946|EIF-2alpha|Eif2alpha|IF2A_DROME|M(1)14C|M(1)19-153|M(1)8e3-10|deIF2alpha|eIF-2|eIF-2 a|eIF-2 alpha|eIF-2alphaeIF-2alpha|eIF2 alpha|eIF2-alpha|eIF2a|eIF2alpha|eiF-2alpha|elF2alpha|l(1,eukaryotic translation Initiation Factor 2alpha
A0A0B4KHX7,Q9V9X8,Gcn2,CG1609|DGCN2|DmelCG1609|EIF2|GCN2|Gcn-2|dGCN2,
P15442,GCN2,AAS1|AAS102|NDR2,
P18848,Q96AQ3,ATF4,CREB-2|CREB2|TAXREB67|TXREB,activating transcription factor 4
B3KY45,E7ER02,Q68DI6,Q9NZJ5,EIF2AK3,PEK|PERK|WRS,eukaryotic translation initiation factor 2 alpha kinase 3
O75460,ERN1,IRE1|IRE1P|IRE1a|hIRE1p,endoplasmic reticulum to nucleus signaling 1
A0A024R8H5,Q12933,TRAF2,MGC:45012|TRAP|TRAP3,TNF receptor associated factor 2
O15111,CHUK,IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16,conserved helix-loop-helix ubiquitous kinase
G3XAG3,K7PML8,P42771,Q8N726,CDKN2A,ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16,cyclin-dependent kinase inhibitor 2A
P46527,Q6I9V6,CDKN1B,CDKN4|KIP1|MEN1B|MEN4|P27KIP1,cyclin-dependent kinase inhibitor 1B
Q9SEL5,VTI1B,ATVTI12|T24P13.5|T24P13_5|VESICAL TRANSPORT V-SNARE 12|VTI12,
O43524,FOXO3,AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A,forkhead box O3
A0A0B4LFZ4,Q7KN62,TER94,22.26|7.12|Apple|BcDNA.GM02885|BcDNA:GM02885|CDC48|CG2331|DmTER94|DmelCG2331|I|Ter94|Tera|VCP|VCP ATPase|VCP/p97|Vcp|anon-WO2004063362.65|anon-WO2004063362.67|cdc48|dTERA|dVCP|dmTERA|dvcp|l(2)03775|l(,
Q01196,RUNX1,AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha,runt related transcription factor 1
Q8NCE2,Q8WYY9,MTMR14,C3orf29,myotubularin related protein 14
P09232,PRB1,CVT1,
P40903,isp6,prb1,
Q10074,avt3,,
O74327,avt5,,
Q9UT61,ams1,,
Q09752,fnx1,SPBC21D10.04c,
O59726,fnx2,,
P09208,InR,18402|CG18402|DIHR|DILR|DIR|DIRH|DIRbeta|DInR|DInr|Dir-a|Dir-b|DmelCG18402|INR|INS|IR|Inr|Inr-alpha|Inr-beta|InsR|dINR|dIR|dIRH|dInR|dInr|dInsR|dinr|dir|er10|inR|inr|insulin/insulin-like growth factor,Insulin-like receptor
H1ZYG4,Q9VND8,Rheb,CG1081|DReb|Dm Rheb|DmRheb|DmelCG1081|Q9VND8|RHEB|RheB|dRheb|rheb,Ras homolog enriched in brain ortholog (H. sapiens)
Q9VCC9,Tsc1,CG6147|DmelCG6147|TSC|TSC1|dTSC|dTSC-1|dTSC1|dTsc1|dtsc1|rocky|tsc1,
M9PD17,Q9VW83,gig,6975|C1|CG6975|DmelCG6975|Gigas|ME 109|TSC2|Tsc2|Tsc2/gig|dTSC2|dTsc2|gig|Tsc2|l(3)109|tsc2,gigas
Q9W3C9,CG12772,DmelCG12772|FBgn 30055,
A8JNM3,M9PBU6,M9PEF2,M9PEM7,Q7KU90,Q7KU93,Q9VS85,lqf,0110/27|CG8532|DmelCG8532|E(faf)bE25|Epsin|LqF|Lqf|anon-WO0118547.239|dEpsin|epsin|l(3)S011027,liquid facets
A0A0B4KHV1,Q7YU18,Q9VD60,Eip93F,CG18389|DmelCG18389|E93|Eip93|Eip93f|anon-WO02059370.58|eip93f|l(3)93|l(3)ry93|lincRNA.833|psg11,Ecdysone-induced protein 93F
M9PEF9,M9PH06,Q23977,X2JJV1,hep,CG2190|CG4353|D-MKK7|DHEP/MKK7|DJNKK|DMKK7|DmelCG4353|HEP|HEP/MKK7|Hep|Hep/Mkk7|JNKK|MAP2K7|MAPKK|MKK7|Mkk7|dJNKK|dMKK7|hem|hep/JNKK|hp|hrp|l(1)7P1|l(1)G0107|l(1)G0208,hemipterous
E1JHD6,P92208,bsk,BSK|Bsk|CG5680|D-JNK|D-junk|DBSK/JNK|DJNK|DJNK/bsk|DmelCG5680|JNK|JNK/SAPK|Jnk|Junk|SAPKa|dJNK|jnk|pJNK,basket
A0A0B4KEI6,P18289,Jra,AP-1|AP1|CG2275|D-Jun|D-jun|D-jun/Jra|DJUN|DJun|DM14|Djun|DmelCG2275|JRA|JUN|Jun|V|c-Jun|cJun|d-JRA|d-Jun|d-jun|dAP-1|dJRA|dJUN|dJra|dJun|djun|dm-Jun|jra|jun|l(2)46Ef|l(2)IA109|l(2R)IA109,Jun-related antigen
A0A0B4LHU8,A8MPH9,C4JC86,P21525,kay,AP-1|AP1|CG15507|CG15509|CG33956|D-Fos|D-fos|D-fos/kay|DFOS|DFos|DFra|DM3|DM30|Dfos|DmelCG33956|FOS|Fos|Fra|KAY|Kay|c-Fos|c-fos|d-fos|dAP-1|dFRA|dFos|dFra|dfos|dlhD|fbz|fos|fra,kayak
A0A0B4KGN1,Q95V55,foxo,3143|Afx|CG3143|Dfoxo|DmQ95V5|DmelCG3143|FKHR|FOXO|FOXO1|FoxO|Foxo|Q95V55|anon-WO0118547.374|cg3143|dFOXO|dFoxO|dFoxo|dfoxo|fd88A|foxO|foxo|dFOXO,forkhead box, sub-group O
E7BBS1,Q9VT51,Ilp2,CG8167|DILP|DILP-2|DILP2|Dilp|Dilp 2|Dilp-2|Dilp2|DmelCG8167|ILP2|IRP|Ilp|Ilp-2|dILP-2|dILP2|dIlp2|dilp|dilp-2|dilp2|ilp2,Insulin-like peptide 2
A1A4Y4,IRGM,IFI1|IRGM1|LRG-47|LRG47,immunity-related GTPase M
A0A024RA73,G3XAL1,Q9Y239,NOD1,CARD4|CLR7.1|NLRC1,nucleotide binding oligomerization domain containing 1
Q9HC29,NOD2,ACUG|BLAU|CARD15|CD|CLR16.3|IBD1|NLRC2|NOD2B|PSORAS1,nucleotide binding oligomerization domain containing 2
A0A024QZ26,B4DZH6,Q9UBN7,HDAC6,CPBHM|HD6|JM21|PPP1R90,histone deacetylase 6
A0A024RDI0,Q8IZQ1,WDFY3,ALFY|ZFYVE25,WD repeat and FYVE domain containing 3
A1L4K2,P45983,MAPK8,JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c,mitogen-activated protein kinase 8
Q08236,AVO1,,
Q04749,AVO2,,
P40061,TSC11,AVO3,
P47041,BIT61,,
Q6DKI0,Q8N122,RPTOR,KOG1|Mip1,regulatory associated protein of MTOR complex 1
Q9BVC4,MLST8,GBL|GbetaL|LST8|POP3|WAT1,MTOR associated protein, LST8 homolog
A0A024QZF6,Q96B36,AKT1S1,Lobe|PRAS40,AKT1 substrate 1
Q8TB45,DEPTOR,DEP.6|DEPDC6,DEP domain containing MTOR-interacting protein
Q6R327,RICTOR,AVO3|PIA|hAVO3,RPTOR independent companion of MTOR complex 2
A0A024R863,Q9BPZ7,MAPKAP1,JC310|MIP1|SIN1|SIN1b|SIN1g,mitogen-activated protein kinase associated protein 1
A0A024R4U5,A8K699,P85299,PRR5,FLJ20185k|PP610|PROTOR-1|PROTOR1,proline rich 5
Q5VZM2,RRAGB,RAGB|bA465E19.1,Ras related GTP binding B
A8K602,B3KMM5,Q8IVH8,MAP4K3,GLK|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1,mitogen-activated protein kinase kinase kinase kinase 3
Q15758,Q59ES3,SLC1A5,AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC,solute carrier family 1 member 5
Q01650,SLC7A5,4F2LC|CD98|D16S469E|E16|LAT1|MPE16|hLAT1,solute carrier family 7 member 5
J3KPF3,P08195,SLC3A2,4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE,solute carrier family 3 member 2
A0A024QZQ6,Q9NX09,DDIT4,Dig2|REDD-1|REDD1,DNA damage inducible transcript 4
A0A024RDW2,A8K8L1,Q8NEM7,SUPT20H,C13|C13orf19|FAM48A|FP757|P38IP|SPT20,SPT20 homolog, SAGA complex component
P51149,RAB7A,PRO2706|RAB7,RAB7A, member RAS oncogene family
A0A024RBV5,P51151,RAB9A,RAB9,RAB9A, member RAS oncogene family
P50875,SPT20,ADA5,
P32485,HOG1,SSK3,
Q86WV6,V5V0K2,TMEM173,ERIS|MITA|MPYS|NET23|SAVI|STING|hMITA|hSTING,transmembrane protein 173
Q9UHD2,TBK1,FTDALS4|NAK|T2K,TANK binding kinase 1
P50079,HSV2,,
Q22592,bec-1,,
Q09490,lgg-1,,
E2JKY9,Q23536,lgg-2,,
Q10931,lgg-3,,
O44997,W6RQW7,W6RTC2,W6SBC4,dapk-1,,
Q94148,rab-10,,
Q17381,pha-4,,
D3YT50,Q21921,sir-2.1,,
P41958,ced-9,,
Q9H082,RAB33B,SMC2,RAB33B, member RAS oncogene family
P11655,SEC12,SED2,
P48415,SEC16,LPF1,
P15303,SEC23,,
P40482,SEC24,ANU1,
P20606,SAR1,,
P53953,SFB2,ISS1,
P17065,SEC2,,
P07560,SEC4,SRO6,
P11075,SEC7,,
P47102,GEA1,,
P39993,GEA2,,
P01123,YPT1,,
O95140,MFN2,CMT2A|CMT2A2|CPRP1|HMSN6A|HSG|MARF,mitofusin 2
B1AKC3,O60260,X5DR79,PARK2,AR-JP|LPRS2|PDJ|PRKN,parkin RBR E3 ubiquitin protein ligase
Q0KHV6,Pink1,BEST:GH23468|CG4523|DmelCG4523|PINK|PINK1|dPINK1|dPink1|pink1,PTEN-induced putative kinase 1
Q9BXM7,PINK1,BRPK|PARK6,PTEN induced putative kinase 1
B3KTS5,P21796,VDAC1,PORIN|VDAC-1,voltage dependent anion channel 1
Q13137,CALCOCO2,NDP52,calcium binding and coiled-coil domain 2
A0A0S2Z3Y3,A0A0S2Z3Z1,A0A0S2Z444,A0A0S2Z462,P52594,AGFG1,HRB|RAB|RIP,ArfGAP with FG repeats 1
O95782,AP2A1,ADTAA|AP2-ALPHA|CLAPA1,adaptor related protein complex 2 alpha 1 subunit
O94973,AP2A2,ADTAB|CLAPA2|HIP-9|HIP9|HYPJ,adaptor related protein complex 2 alpha 2 subunit
